Image,u,v
DJI_0908.JPG,1704,101
DJI_0908.JPG,1740,99
DJI_0908.JPG,1691,90
DJI_0908.JPG,1784,78
DJI_0908.JPG,1767,99
DJI_0908.JPG,1746,134
DJI_0908.JPG,3539,607
DJI_0908.JPG,3898,630
DJI_0908.JPG,3592,776
DJI_0908.JPG,3709,177
DJI_0908.JPG,3608,761
DJI_0908.JPG,3804,754
DJI_0908.JPG,3827,776
DJI_0908.JPG,3974,523
DJI_0908.JPG,3455,699
DJI_0908.JPG,3616,565
DJI_0908.JPG,3853,749
DJI_0908.JPG,3650,657
DJI_0908.JPG,3822,731
DJI_0908.JPG,3282,475
DJI_0908.JPG,3678,249
DJI_0908.JPG,3641,204
DJI_0908.JPG,3601,643
DJI_0908.JPG,3765,651
DJI_0908.JPG,3825,493
DJI_0908.JPG,3688,762
DJI_0908.JPG,3971,325
DJI_0908.JPG,3804,459
DJI_0908.JPG,3732,186
DJI_0908.JPG,3288,392
DJI_0908.JPG,3674,512
DJI_0908.JPG,3321,324
DJI_0908.JPG,3762,189
DJI_0908.JPG,3744,698
DJI_0908.JPG,3790,216
DJI_0908.JPG,3564,558
DJI_0908.JPG,3613,325
DJI_0908.JPG,3781,132
DJI_0908.JPG,3588,718
DJI_0908.JPG,3843,617
DJI_0908.JPG,3727,526
DJI_0908.JPG,3944,449
DJI_0908.JPG,3633,444
DJI_0908.JPG,3850,526
DJI_0908.JPG,3696,596
DJI_0908.JPG,3786,562
DJI_0908.JPG,3861,717
DJI_0908.JPG,3813,622
DJI_0908.JPG,3709,750
DJI_0908.JPG,3635,696
DJI_0908.JPG,3373,320
DJI_0908.JPG,3882,630
DJI_0908.JPG,3841,161
DJI_0908.JPG,3709,572
DJI_0908.JPG,3940,681
DJI_0908.JPG,3641,608
DJI_0908.JPG,3679,726
DJI_0908.JPG,3587,406
DJI_0908.JPG,3944,506
DJI_0908.JPG,3912,707
DJI_0908.JPG,3668,405
DJI_0908.JPG,3816,530
DJI_0908.JPG,3959,355
DJI_0908.JPG,3669,701
DJI_0908.JPG,3715,229
DJI_0908.JPG,3511,96
DJI_0908.JPG,3478,669
DJI_0908.JPG,3705,244
DJI_0908.JPG,3668,159
DJI_0908.JPG,3799,135
DJI_0908.JPG,3280,530
DJI_0908.JPG,3543,644
DJI_0908.JPG,3277,420
DJI_0908.JPG,3962,612
DJI_0908.JPG,3571,637
DJI_0908.JPG,3624,244
DJI_0908.JPG,3657,476
DJI_0908.JPG,3773,738
DJI_0908.JPG,3463,779
DJI_0908.JPG,3656,620
DJI_0908.JPG,3943,694
DJI_0908.JPG,3620,462
DJI_0908.JPG,3823,155
DJI_0908.JPG,3706,704
DJI_0908.JPG,3514,707
DJI_0908.JPG,3916,287
DJI_0908.JPG,3981,759
DJI_0908.JPG,3653,756
DJI_0908.JPG,3748,211
DJI_0908.JPG,3772,215
DJI_0908.JPG,3757,580
DJI_0908.JPG,3349,390
DJI_0908.JPG,3621,754
DJI_0908.JPG,3859,261
DJI_0908.JPG,3718,785
DJI_0908.JPG,3595,431
DJI_0908.JPG,3698,787
